filename,id,date,host,short_title,title,date_short
doc_492655.txt,10955,2017-05-16,,Brexit   Hard custom,Brexit   Hard customs border would be catastrophic   shipping chief | UK | News | Express.co.uk,2017-05
doc_300600.txt,10956,2017-02-25,www.express.co.uk,stephen pollard pc b,stephen pollard pc brigade trevor phillips political correctness channel 4,2017-02
doc_222702.txt,10957,2017-03-29,www.dailymail.co.uk,Pound stutters trigg,Pound stutters triggers Brexit.html,2017-03
doc_330824.txt,10958,2017-04-23,uk.weather.yahoo.com,russia engaged full ,russia engaged full scale shadow 011200694.html,2017-04
doc_741316.txt,10959,2017-04-05,uk.weather.yahoo.com,londoner apos diary ,londoner apos diary no toilet 103100429.html,2017-04
doc_828081.txt,10960,2017-05-13,,The PM may mock Corb,The PM may mock Corbyn but at times they are virtually interchangeablePremium Promo,2017-05
doc_247559.txt,10961,2017-04-18,www.express.co.uk.,General election 201,General election 2017 Theresa May Jean Claude Juncker Nicola Sturgeon Jeremy Corbyn,2017-04
doc_417515.txt,10962,2017-03-24,uk.weather.yahoo.com,guardian view funera,guardian view funeral martin mcguinness 183257557.html,2017-03
doc_415085.txt,10963,2017-03-24,www.express.co.uk,jean claude juncker ,jean claude juncker living fool s paradise peter bone conservative mp brexit march 29,2017-03
doc_593077.txt,10964,2017-02-24,www.express.co.uk,EU Herman Van Rompuy,EU Herman Van Rompuy Nicola Sturgeon warning second Scottish independence referendum,2017-02
doc_465605.txt,10965,2017-03-08,www.express.co.uk,Francois Hollande ur,Francois Hollande urges UK to Join European Union EU army missions Africa,2017-03
doc_391446.txt,10966,2017-04-11,www.express.co.uk.,Brexit European Unio,Brexit European Union economy improves after UK EU split,2017-04
doc_53963.txt,10967,2017-08-06,www.theguardian.com,i saw theresa may at,i saw theresa may at work new message vital to avoid defeat,2017-08
doc_826487.txt,10968,2017-05-13,,Dutch politician dem,Dutch politician demands €100m from ECB boss if they leave eurozone | World | News | Express.co.uk,2017-05
doc_723591.txt,10969,2017-03-22,www.express.co.uk,Brexit news Kezia Du,Brexit news Kezia Dugdale Nicola Sturgeon Holyrood rant Scottish Independence,2017-03
doc_783521.txt,10970,2017-04-04,www.theguardian.com,brexit michael howar,brexit michael howard accused of absurd jingoism over gibraltar threat politics live,2017-04
doc_292256.txt,10971,2017-02-25,uk.weather.yahoo.com,ukips humiliating de,ukips humiliating defeat may spell 23 year by election drought says party chairman 105754970.html,2017-02
doc_203264.txt,10972,2017-03-06,www.theguardian.com,momentum relaunch fa,momentum relaunch factionalism jon lansman labour,2017-03
doc_285819.txt,10973,2017-07-13,www.independent.co.uk,nicky morgan treasur,nicky morgan treasury select committee chair first woman a7838176.html,2017-07
doc_415365.txt,10974,2017-03-24,www.conservativewoman.co.uk,,,2017-03
doc_1.txt,10975,2017-06-04,dailymail.co.uk,Shock poll reveals T,Shock poll reveals Tories lead just 1.html,2017-06
doc_738106.txt,10976,2017-04-08,www.express.co.uk,Green Party Jonathan,Green Party Jonathan Bartley slammed BBC offending Brexit David Dimbleby Question Time,2017-04
doc_512179.txt,10977,2017-07-11,www.express.co.uk,European Court of Ju,European Court of Justice Brexit Theresa May power,2017-07
doc_608625.txt,10978,2017-03-04,uk.weather.yahoo.com,sinn fein surge nort,sinn fein surge northern ireland 013747528.html,2017-03
doc_222530.txt,10979,2017-03-29,www.express.co.uk,eu hard brexit artic,eu hard brexit article 50 exit deal negotiation theresa may,2017-03
doc_640510.txt,10980,2017-05-22,,Brexit without free ,Brexit without free trade deal for services ‘could cost Britain up to £36 BILLION a year’ | UK | News | Express.co.uk,2017-05
doc_351046.txt,10981,2017-03-16,www.express.co.uk.,Nicola Sturgeon Scot,Nicola Sturgeon Scotland independence Iceland Brexit EFTA,2017-03
doc_332697.txt,10982,2017-04-23,www.express.co.uk,Nicola Sturgeon booe,Nicola Sturgeon booed Theresa May SNP undermine Brexit Dudley campaign Tory,2017-04
doc_332716.txt,10983,2017-04-23,www.express.co.uk.,brexit european bank,brexit european banking exodus other cities too small sam bowman adam smith leave,2017-04
doc_72960.txt,10984,2017-03-21,www.irishtimes.com,i can t believe i am,i can t believe i am agreeing with george osborne john major and tony blair 1.3017120,2017-03
doc_332725.txt,10985,2017-04-23,www.express.co.uk.,Ukip Brexit EU exit ,Ukip Brexit EU exit General Election 2017 Theresa May,2017-04
doc_652232.txt,10986,2017-03-07,www.breitbart.com,,,2017-03
doc_55339.txt,10987,2017-05-11,,'European Union will,'European Union will NEVER be democratic' Danish politician blasts  | World | News | Express.co.uk,2017-05
doc_756304.txt,10988,2017-03-05,www.activistpost.com,terrorist supporting,terrorist supporting megabank sees profits plummet 82 people not govt punish.html,2017-03
doc_669617.txt,10989,2017-03-10,cyprus-mail.com,,,2017-03
doc_672430.txt,10990,2017-03-10,www.express.co.uk.,Donald Tusk Jean Cla,Donald Tusk Jean Claude Juncker Brexit UK back EU,2017-03
doc_650256.txt,10991,2017-03-07,www.express.co.uk.,Article 50 Bill Hous,Article 50 Bill House of Lords Theresa May warns meaningful vote Brexit deal EU incentive,2017-03
doc_345101.txt,10992,2017-05-09,, the Scottish Nation," the Scottish Nationalists and others are lining up to prop him up.""A Jeremy Corbynled coalition of chaos is a real possibility. We must not let that happen.”""",2017-05
doc_796837.txt,10993,2017-02-20,www.buzzfeed.com,british mp says uk i,british mp says uk is pimping out the queen for donald trump,2017-02
doc_641944.txt,10994,2017-03-07,uk.weather.yahoo.com,pm faces second brex,pm faces second brexit defeat 113121296.html,2017-03
doc_44004.txt,10995,2017-04-06,uk.weather.yahoo.com,nigel farage jeered ,nigel farage jeered european parliament 075500068.html,2017-04
doc_218120.txt,10996,2017-03-29,metro.co.uk,,,2017-03
doc_290635.txt,10997,2017-07-28,www.theguardian.com,end of tits and tequ,end of tits and tequila culture 18 to 30 package holidays malia crete,2017-07
doc_254025.txt,10998,2017-02-27,www.express.co.uk,German election 2017,German election 2017 federal vote will Angela Merkel lose prediction AfD CDU SDP polls,2017-02
doc_220836.txt,10999,2017-03-29,www.independent.co.uk,article 50 brexit ec,article 50 brexit economy pound euro what will happen now stocks markets latest a7655516.html,2017-03
doc_258996.txt,11000,2017-02-27,uk.weather.yahoo.com,andrew lloyd webber ,andrew lloyd webber tells peers 151654285.html,2017-02
doc_708487.txt,11001,2017-03-13,www.msn.com:443,ar AAofzIW,ar AAofzIW,2017-03
doc_124839.txt,11002,2017-04-12,metro.co.uk,,,2017-04
doc_697148.txt,11003,2017-03-02,rightlog.in,,,2017-03
doc_761981.txt,11004,2017-03-05,independent.co.uk,brexit bill latest h,brexit bill latest house lords theresa may defeat eu departure no deal nationals right to stay a7609391.html,2017-03
doc_23343.txt,11005,2017-02-28,www.buzzfeed.com,you cant eat a flag,you cant eat a flag,2017-02
